Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/26/2022 4:01:42 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,2000,All,Age_all,[All],7841.00000000,47.77892877,349.82438910,251.79833012,
EU,Europe,ALB,Albania,2001,All,Age_all,[All],7516.00000000,49.63349402,277.15260396,244.87867656,
EU,Europe,ALB,Albania,2002,All,Age_all,[All],8062.00000000,49.61841457,298.93407931,261.40103432,
EU,Europe,ALB,Albania,2003,All,Age_all,[All],8994.00000000,50.06401336,328.60851988,289.87057991,
EU,Europe,ALB,Albania,2004,All,Age_all,[All],8891.00000000,50.09578544,312.56065918,284.30611688,
EU,Europe,ALB,Albania,2005,All,Age_all,[All],8817.00000000,50.59390601,294.53676883,292.77865774,
EU,Europe,ALB,Albania,2006,All,Age_all,[All],8815.00000000,52.05196339,281.12512033,294.56473758,
EU,Europe,ALB,Albania,2007,All,Age_all,[All],7720.00000000,53.13876652,239.36775343,259.93082204,
EU,Europe,ALB,Albania,2008,All,Age_all,[All],9321.00000000,57.74019699,279.01451312,316.25340988,
EU,Europe,ALB,Albania,2009,All,Age_all,[All],9136.00000000,58.33226919,264.95485279,312.07280424,
EU,Europe,ALB,Albania,2010,All,Age_all,[All],6664.00000000,54.89743801,184.45703234,228.76531610,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age_all,[All],136.00000000,33.66336634,213.94536823,178.90970322,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age_all,[All],157.00000000,33.98268398,235.66459944,203.33626897,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,All,Age_all,[All],147.00000000,33.10810811,215.96507326,187.75145284,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,All,Age_all,[All],184.00000000,40.79822616,257.58003225,232.03026482,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age_all,[All],175.00000000,34.24657534,238.38298901,217.83509261,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,All,Age_all,[All],191.00000000,39.05930470,255.59812340,234.45651507,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,All,Age_all,[All],172.00000000,36.28691983,221.31736074,207.97059393,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,All,Age_all,[All],159.00000000,32.85123967,199.60212509,189.22714398,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,All,Age_all,[All],183.00000000,34.65909091,221.87457994,214.29324215,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,All,Age_all,[All],131.00000000,35.21505376,157.05224875,151.01560879,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,All,Age_all,[All],170.00000000,34.48275862,183.73519711,188.03437711,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,All,Age_all,[All],168.00000000,35.66878981,177.79240293,183.57445693,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age_all,[All],211.00000000,36.37931034,218.22522355,227.95531644,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,All,Age_all,[All],180.00000000,34.09090909,181.09926530,192.37757305,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2016,All,Age_all,[All],182.00000000,33.57933579,176.05775282,192.53758185,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2017,All,Age_all,[All],201.00000000,35.70159858,192.16562810,210.63441829,
CSA,Central and South America,ARG,Argentina,2000,All,Age_all,[All],91506.00000000,33.01701618,216.99746592,248.18021921,
CSA,Central and South America,ARG,Argentina,2001,All,Age_all,[All],93972.00000000,32.86412232,215.14867621,252.10021813,
CSA,Central and South America,ARG,Argentina,2002,All,Age_all,[All],94877.00000000,32.58250627,212.10308076,251.78502197,
CSA,Central and South America,ARG,Argentina,2003,All,Age_all,[All],95033.00000000,31.48143240,207.15826950,249.50989643,
CSA,Central and South America,ARG,Argentina,2004,All,Age_all,[All],90939.00000000,30.94647433,194.51418966,236.25445846,
CSA,Central and South America,ARG,Argentina,2005,All,Age_all,[All],89554.00000000,30.54771951,188.04073430,230.25778129,
