Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/30/2022 9:05:23 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,2000,All,Age_all,[All],7841.00000000,47.77892877,349.82438910,251.79833012,
EU,Europe,ALB,Albania,2001,All,Age_all,[All],7516.00000000,49.63349402,277.15260396,244.87867656,
EU,Europe,ALB,Albania,2002,All,Age_all,[All],8062.00000000,49.61841457,298.93407931,261.40103432,
EU,Europe,ALB,Albania,2003,All,Age_all,[All],8994.00000000,50.06401336,328.60851988,289.87057991,
EU,Europe,ALB,Albania,2004,All,Age_all,[All],8891.00000000,50.09578544,312.56065918,284.30611688,
EU,Europe,ALB,Albania,2005,All,Age_all,[All],8817.00000000,50.59390601,294.53676883,292.77865774,
EU,Europe,ALB,Albania,2006,All,Age_all,[All],8815.00000000,52.05196339,281.12512033,294.56473758,
EU,Europe,ALB,Albania,2007,All,Age_all,[All],7720.00000000,53.13876652,239.36775343,259.93082204,
EU,Europe,ALB,Albania,2008,All,Age_all,[All],9321.00000000,57.74019699,279.01451312,316.25340988,
EU,Europe,ALB,Albania,2009,All,Age_all,[All],9136.00000000,58.33226919,264.95485279,312.07280424,
EU,Europe,ALB,Albania,2010,All,Age_all,[All],6664.00000000,54.89743801,184.45703234,228.76531610,
EU,Europe,AUT,Austria,2000,All,Age_all,[All],40111.00000000,52.24146913,235.87981366,500.66366551,
EU,Europe,AUT,Austria,2001,All,Age_all,[All],38385.00000000,51.33949470,222.60655032,477.28925071,
EU,Europe,AUT,Austria,2002,All,Age_all,[All],36906.00000000,48.47696733,209.40105095,456.63755838,
EU,Europe,AUT,Austria,2003,All,Age_all,[All],34914.00000000,45.22011683,197.00290817,430.06832142,
EU,Europe,AUT,Austria,2004,All,Age_all,[All],32486.00000000,43.72745383,180.48368499,397.65266681,
EU,Europe,AUT,Austria,2005,All,Age_all,[All],32636.00000000,43.40528535,175.24155713,396.77686274,
EU,Europe,AUT,Austria,2006,All,Age_all,[All],32489.00000000,43.72972609,167.76112628,392.95118934,
EU,Europe,AUT,Austria,2007,All,Age_all,[All],32864.00000000,44.03886097,163.58753170,396.18144927,
EU,Europe,AUT,Austria,2008,All,Age_all,[All],32294.00000000,43.01106775,154.68408349,388.07716023,
EU,Europe,AUT,Austria,2009,All,Age_all,[All],33223.00000000,42.93431204,155.20839822,398.28649174,
EU,Europe,AUT,Austria,2010,All,Age_all,[All],33196.00000000,43.00055700,150.69796738,397.03057109,
EU,Europe,AUT,Austria,2011,All,Age_all,[All],32374.00000000,42.33057441,142.98403318,385.93155848,
EU,Europe,AUT,Austria,2012,All,Age_all,[All],33931.00000000,42.71488997,144.68290432,402.67917954,
EU,Europe,AUT,Austria,2013,All,Age_all,[All],34101.00000000,42.88031587,143.33409403,402.26583448,
EU,Europe,AUT,Austria,2014,All,Age_all,[All],33136.00000000,42.34524357,135.48658222,387.83080202,
EU,Europe,AUT,Austria,2015,All,Age_all,[All],35537.00000000,42.77803859,141.64326405,411.80742519,
EU,Europe,AUT,Austria,2016,All,Age_all,[All],33248.00000000,41.21533675,130.94721147,380.42034343,
EU,Europe,AUT,Austria,2017,All,Age_all,[All],33125.00000000,39.78023298,127.69771454,376.63132529,
EU,Europe,AUT,Austria,2018,All,Age_all,[All],32684.00000000,38.92110747,125.11159538,369.82443523,
EU,Europe,AUT,Austria,2019,All,Age_all,[All],32148.00000000,38.55323436,121.11067792,362.12338937,
EU,Europe,AUT,Austria,2020,All,Age_all,[All],32544.00000000,35.52877215,120.46285569,364.97213981,
EU,Europe,BLR,Belarus,2000,All,Age_all,[All],72401.00000000,53.68325832,498.23936685,723.65121373,
EU,Europe,BLR,Belarus,2001,All,Age_all,[All],76736.00000000,54.69461650,524.78628081,769.61589812,
EU,Europe,BLR,Belarus,2002,All,Age_all,[All],79171.00000000,53.98341720,535.83199812,797.71150272,
EU,Europe,BLR,Belarus,2003,All,Age_all,[All],78769.00000000,55.00513257,526.06765691,797.75560153,
EU,Europe,BLR,Belarus,2007,All,Age_all,[All],70318.00000000,52.87345951,447.37866365,724.76973064,
EU,Europe,BLR,Belarus,2008,All,Age_all,[All],70618.00000000,52.74763032,445.19746789,729.46141766,
